°üÃø¼Ò¸í:´ëÇÑÇØÇù
À§µµ:34.919
°æµµ:129.12125
°üÃø½Ã°£	Ç¥ÃþÀ¯¼Ó(cm/s)		Ç¥ÃþÀ¯Çâ(deg)	¼ö¿Â(¡É)	À¯ÀÇÆÄ°í(MOSE.HF)(m)	À¯ÀÇÆÄÁÖ±â(MOSE.HF)(sec)	ÃÖ´ëÆÄ°í(MOSE.HF)(m)	ÃÖ´ëÆÄÁÖ±â(MOSE.HF)(sec)		ÆÄÇâ(deg)	Ç³¼Ó(m/s)		Ç³Çâ(deg)	±â¿Â(¡É)	±â¾Ð(hPa)	
2022/10/01 00:00:00	54.7	µ¿ºÏµ¿	62	24.29	0.24	4.7	0.40	6.0	µ¿ºÏµ¿	58.00	1.6	³²¼­	221	50.0	1016.6	
2022/10/01 00:30:00	71.8	ºÏµ¿	55	24.48	0.22	4.6	0.36	4.5	³²	190.00	1.8	³²¼­	229	50.3	1016.5	
2022/10/01 01:00:00	73.2	ºÏµ¿	56	24.23	0.24	4.5	0.37	4.5	µ¿ºÏµ¿	70.00	2.1	³²¼­	225	50.4	1016.6	
2022/10/01 01:30:00	72.0	ºÏµ¿	52	24.16	0.23	5.2	0.36	5.0	³²	188.00	2.3	¼­³²¼­	242	50.2	1016.6	
2022/10/01 02:00:00	69.6	ºÏµ¿	56	24.14	0.22	4.7	0.35	4.5	µ¿ºÏµ¿	62.00	2.1	¼­³²¼­	240	50.1	1016.5	
2022/10/01 02:30:00	64.2	ºÏµ¿	56	24.22	0.23	4.4	0.47	3.5	µ¿ºÏµ¿	68.00	1.5	¼­³²¼­	243	50.3	1016.5	
2022/10/01 03:00:00	61.4	ºÏµ¿	54	24.30	0.20	4.6	0.32	5.0	ºÏµ¿	56.00	1.5	¼­	259	50.0	1016.5	
2022/10/01 03:30:00	61.2	ºÏµ¿	51	24.41	0.23	4.8	0.34	4.0	ºÏµ¿	49.00	1.7	¼­ºÏ¼­	301	50.0	1016.7	
2022/10/01 04:00:00	51.1	ºÏµ¿	50	24.40	0.20	4.5	0.32	4.0	µ¿ºÏµ¿	62.00	2.3	¼­ºÏ¼­	300	50.0	1016.8	
2022/10/01 04:30:00	57.9	ºÏµ¿	46	24.29	0.22	4.7	0.55	3.5	µ¿	92.00	2.5	¼­ºÏ¼­	292	49.8	1017.1	
2022/10/01 05:00:00	56.3	ºÏµ¿	39	24.35	0.21	4.5	0.35	7.0	ºÏµ¿	43.00	3.1	¼­ºÏ¼­	283	49.6	1017.3	
2022/10/01 05:30:00	49.7	ºÏµ¿	35	24.36	0.20	4.5	0.31	4.5	µ¿ºÏµ¿	62.00	3.8	¼­ºÏ¼­	291	49.2	1017.5	
2022/10/01 06:00:00	40.2	ºÏºÏµ¿	28	24.27	0.22	4.0	0.32	3.0	ºÏ	2.00	4.4	¼­ºÏ¼­	297	49.5	1017.5	
2022/10/01 06:30:00	30.1	ºÏºÏµ¿	26	24.21	0.24	3.5	0.43	3.5	µ¿³²µ¿	108.00	4.9	¼­ºÏ¼­	298	49.4	1017.5	
2022/10/01 07:00:00	22.3	ºÏºÏµ¿	23	24.25	0.26	3.3	0.43	3.0	³²µ¿	128.00	4.8	¼­ºÏ¼­	298	49.4	1017.6	
2022/10/01 07:30:00	15.1	ºÏºÏµ¿	13	24.24	0.24	3.3	0.41	3.0	µ¿³²µ¿	116.00	5.0	ºÏ¼­	306	49.5	1017.9	
2022/10/01 08:00:00	8.5	ºÏºÏ¼­	340	24.22	0.25	3.2	0.41	2.5	µ¿ºÏµ¿	59.00	5.5	ºÏ¼­	307	49.2	1018.2	
2022/10/01 08:30:00	15.3	ºÏ	350	24.17	0.24	3.6	0.41	2.5	µ¿³²µ¿	107.00	4.4	¼­ºÏ¼­	302	49.2	1018.4	
2022/10/01 09:00:00	19.5	ºÏºÏ¼­	344	24.12	0.25	3.3	0.43	3.5	µ¿	98.00	4.4	¼­ºÏ¼­	291	49.5	1018.6	
2022/10/01 09:30:00	14.9	ºÏºÏ¼­	338	24.10	0.25	3.6	0.38	4.0	µ¿³²µ¿	110.00	4.3	¼­ºÏ¼­	284	50.1	1018.8	
2022/10/01 10:00:00	19.0	ºÏ	357	24.09	0.27	3.5	0.48	3.0	¼­ºÏ¼­	289.00	4.3	¼­ºÏ¼­	285	50.2	1018.9	
