지점,일시,풍속(m/s),풍향(deg),GUST풍속(m/s),최대파고(m),유의파고(m),평균파고(m),파주기(sec),파향(deg)
22185,2023-01-18 12:00,2.7,28,4.4,1,0,.5,,0
22185,2023-01-18 13:00,2.7,16,4,1.1,.7,.5,4.3,303
22185,2023-01-18 14:00,3.2,24,5,1.2,.7,.4,4.4,307
22185,2023-01-18 15:00,2,41,3,1,.6,.5,4.3,302
22185,2023-01-18 16:00,1.4,47,2.6,.8,.6,.4,4.2,302
22185,2023-01-18 17:00,2,59,3.5,1,.5,.4,4,302
22185,2023-01-18 18:00,2.5,56,3.7,.7,.5,.3,3.8,302
22185,2023-01-18 19:00,1.9,62,2.7,.7,.4,.3,3.9,306
22185,2023-01-18 20:00,2.4,73,3.3,.7,.4,.3,3.9,298
22185,2023-01-18 21:00,2.5,91,3.6,.6,.4,.3,4.1,279
22185,2023-01-18 22:00,2.2,109,3.8,.6,.4,.3,4,284
22185,2023-01-18 23:00,1.7,119,2.8,.7,.4,.3,3.9,278
22185,2023-01-19 00:00,1.5,173,2.7,.6,.4,.3,4,278
22185,2023-01-19 01:00,1.4,189,2.5,.5,.4,.2,4,258
22185,2023-01-19 02:00,1.2,113,2.3,.7,.3,.3,4,272
22185,2023-01-19 03:00,3.1,117,4,.8,.4,.3,4,275
22185,2023-01-19 04:00,3.6,147,5.2,.6,.4,.2,4.3,271
22185,2023-01-19 05:00,5.1,139,6.3,.4,.3,.2,3.8,264
22185,2023-01-19 06:00,4,224,5.8,.4,.3,.2,3.3,240
22185,2023-01-19 07:00,4.7,183,6.1,.4,.3,.2,3.2,251
22185,2023-01-19 08:00,6.8,173,8.7,.4,.3,.2,3.1,236
22185,2023-01-19 09:00,6.9,171,8.5,.7,.4,.3,3,158
22185,2023-01-19 10:00,5.6,178,7.1,.8,.5,.4,3.2,168
22185,2023-01-19 11:00,5.2,190,6.7,.6,.5,.3,3.2,157
22185,2023-01-19 12:00,6.1,200,8.4,.7,.4,.4,3.1,161
22185,2023-01-19 13:00,7.1,218,9.3,.9,.6,.5,3,257
22185,2023-01-19 14:00,9.2,210,11.4,1.1,.7,.6,3.1,250
22185,2023-01-19 15:00,9,201,11.4,1.4,.9,.7,3.3,253
22185,2023-01-19 16:00,8.4,240,10.4,1.8,1.1,.8,3.7,241
22185,2023-01-19 17:00,7.7,249,9.8,1.8,1.1,.8,3.9,295
22185,2023-01-19 18:00,8.5,248,11.5,2.1,1.3,.9,4.3,262
22185,2023-01-19 19:00,8.5,242,11.3,2.8,1.5,1.1,4.6,270
22185,2023-01-19 20:00,8.8,249,12.1,2.9,1.8,1.2,4.8,270
22185,2023-01-19 21:00,8.6,255,11.1,2.9,1.8,1.3,4.8,270
22185,2023-01-19 22:00,9.5,285,12.1,3.1,1.9,1.3,4.8,262
22185,2023-01-19 23:00,12,291,15.7,3.4,2.1,1.5,5,262
22185,2023-01-20 00:00,12.8,300,16.4,3.9,2.4,1.6,5.1,260
22185,2023-01-20 01:00,11.5,311,14.9,3.8,2.6,1.8,5.3,272
22185,2023-01-20 02:00,11,312,14.7,4.1,2.4,1.9,5.2,268
22185,2023-01-20 03:00,11,311,15.1,4.1,2.6,1.7,5.6,265
22185,2023-01-20 04:00,11.6,320,15.5,4.3,2.6,1.7,5.6,258
22185,2023-01-20 05:00,10.9,341,14.3,3.9,2.6,1.8,5.7,289
22185,2023-01-20 06:00,12.4,342,16.1,4.4,2.9,1.8,6.1,282
22185,2023-01-20 07:00,12.5,341,16.6,4.5,2.9,1.9,5.8,288
22185,2023-01-20 08:00,11.2,341,16,5.5,3,2.1,5.6,293
22185,2023-01-20 09:00,12.9,348,16.8,4,2.7,2,5.3,303
22185,2023-01-20 10:00,10.9,340,15.9,4.7,2.7,1.8,5.4,292
22185,2023-01-20 11:00,10.8,349,14.7,4.5,2.7,1.9,5.2,293
22185,2023-01-20 12:00,10.2,350,14.1,4.1,2.8,1.8,5.4,302
22185,2023-01-20 13:00,10.2,344,14.8,4.4,2.6,1.8,5.6,313
22185,2023-01-20 14:00,10.4,353,13.5,4.3,2.6,1.6,5.7,313
22185,2023-01-20 15:00,9.3,344,14.8,3.2,2.3,1.5,5.7,315
22185,2023-01-20 16:00,8.5,349,12.4,4,2.1,1.4,5.8,317
22185,2023-01-20 17:00,8,336,11.1,2.9,2,1.3,5.6,310
22185,2023-01-20 18:00,6.3,336,10.2,2.9,1.8,1.2,5.6,315
22185,2023-01-20 19:00,7,333,9.8,2.8,1.7,1.2,5.3,316
22185,2023-01-20 20:00,6.8,316,10.1,2.3,1.4,1.1,4.8,313
22185,2023-01-20 21:00,5.8,321,9.4,2.1,1.4,1,4.6,310
22185,2023-01-20 22:00,5.9,342,10.1,2.2,1.3,.9,4.5,307
22185,2023-01-20 23:00,6.4,338,9.1,1.7,1.3,.9,4.3,302
22185,2023-01-21 00:00,5.8,338,8.6,1.8,1.2,.9,4.2,302
22185,2023-01-21 01:00,4.9,13,7.3,1.8,1.2,.8,4.3,310
22185,2023-01-21 02:00,3.6,13,5.6,1.6,1.1,.7,4.4,316
22185,2023-01-21 03:00,4,49,5.9,1.4,1,.6,4.3,315
22185,2023-01-21 04:00,3.7,57,5.7,1.5,.9,.6,4.3,299
22185,2023-01-21 05:00,3.7,75,5.9,1.1,.8,.5,4.5,309
22185,2023-01-21 06:00,4.2,80,6.4,1.1,.7,.5,4.3,310
22185,2023-01-21 07:00,3.8,90,5.8,.9,.7,.4,4.1,300
22185,2023-01-21 08:00,3.9,102,5.5,.9,.6,.4,3.7,306
22185,2023-01-21 09:00,4.7,114,6.6,.9,.6,.4,3.8,296
22185,2023-01-21 10:00,4.2,117,5.8,.7,.5,.4,3.5,286
22185,2023-01-21 11:00,3.6,140,5.5,.7,.5,.3,3.6,288
22185,2023-01-21 12:00,5.3,131,7.1,.9,.5,.3,3.8,286
22185,2023-01-21 13:00,6.2,137,8.2,.9,.4,.4,3.6,303
22185,2023-01-21 14:00,6.5,128,8.3,.9,.5,.4,3.3,129
22185,2023-01-21 15:00,6.9,130,8.6,.9,.6,.4,3.1,125
22185,2023-01-21 16:00,7.1,153,8.9,1.1,.6,.4,3,122
22185,2023-01-21 17:00,7.4,159,9.3,.8,.6,.4,2.9,143
22185,2023-01-21 18:00,5.5,163,7.8,.8,.6,.4,2.8,149
22185,2023-01-21 19:00,5,195,6.8,.7,.6,.4,2.9,158
22185,2023-01-21 20:00,5.7,183,7.2,.8,.5,.4,2.9,168
22185,2023-01-21 21:00,6.6,183,8.6,.8,.5,.4,3,195
