관측소명:대한해협
위도:34.919
경도:129.12125
관측시간	표층유속(cm/s)	표층유향(16points)	표층유향(deg)	수온(℃)	유의파고(MOSE.HF)(m)	유의파주기(MOSE.HF)(sec)	최대파고(MOSE.HF)(m)	최대파주기(MOSE.HF)(sec)	파향(16points)	파향(deg)	풍속(m/s)	풍향(16points)	풍향(deg)	기온(℃)	기압(hPa)	
2024/07/01 00:00:00	44.7	동북동	60	19.39	1.95	7.3	2.87	8.0	남남서	204.00	8.6	남남서	212	20.5	1003.5	
2024/07/01 00:30:00	33.6	북동	48	19.38	1.80	6.7	2.96	7.0	남남서	206.00	8.5	남남서	210	20.5	1003.4	
2024/07/01 01:00:00	28.0	북북동	32	19.40	1.84	6.8	2.97	7.5	남남서	204.00	6.7	남남서	210	20.5	1003.6	
2024/07/01 01:30:00	40.7	북동	35	19.54	1.85	6.8	2.86	7.5	남남서	202.00	8.5	남서	218	20.7	1003.5	
2024/07/01 02:00:00	46.7	북동	52	19.76	1.71	7.0	2.60	6.5	남남서	209.00	7.7	남서	220	20.6	1003.6	
2024/07/01 02:30:00	30.9	북동	38	19.86	1.72	6.8	3.00	7.5	남남서	207.00	7.6	남서	216	20.6	1003.4	
2024/07/01 03:00:00	49.5	북동	43	19.77	1.63	6.7	2.72	5.5	남남서	210.00	7.8	남서	217	20.6	1003.4	
2024/07/01 03:30:00	58.3	북동	56	19.91	1.64	6.6	3.31	7.0	남남서	209.00	7.1	남서	226	20.4	1003.6	
2024/07/01 04:00:00	58.1	북동	53	20.12	1.52	6.4	2.51	6.5	남남서	207.00	6.8	남서	224	20.3	1003.4	
2024/07/01 04:30:00	68.2	북동	51	20.30	1.46	6.7	2.51	7.0	남남서	205.00	5.6	남서	230	20.3	1003.3	
2024/07/01 05:00:00	35.0	동북동	62	20.32	1.50	6.7	2.32	6.5	남남서	207.00	5.5	남서	230	20.3	1003.6	
2024/07/01 05:30:00	23.2	북동	56	20.34	1.55	6.6	2.64	7.0	남남서	209.00	5.5	남서	220	20.2	1003.7	
2024/07/01 06:00:00	18.2	북동	40	20.12	1.41	6.6	2.19	6.5	남남서	204.00	4.8	남서	217	20.3	1003.8	
2024/07/01 06:30:00	69.4	북동	54	20.26	1.37	6.6	1.91	7.0	남남서	199.00	4.5	남서	225	20.4	1004.1	
