°üÃø¼Ò¸í:´ëÇÑÇØÇù
À§µµ:34.919
°æµµ:129.12125
°üÃø½Ã°£	Ç¥ÃþÀ¯¼Ó(cm/s)	Ç¥ÃþÀ¯Çâ(16points)	Ç¥ÃþÀ¯Çâ(deg)	¼ö¿Â(¡É)	À¯ÀÇÆÄ°í(MOSE.HF)(m)	À¯ÀÇÆÄÁÖ±â(MOSE.HF)(sec)	ÃÖ´ëÆÄ°í(MOSE.HF)(m)	ÃÖ´ëÆÄÁÖ±â(MOSE.HF)(sec)	ÆÄÇâ(16points)	ÆÄÇâ(deg)	Ç³¼Ó(m/s)	Ç³Çâ(16points)	Ç³Çâ(deg)	±â¿Â(¡É)	±â¾Ð(hPa)	
2024/08/01 00:00:00	105.3	ºÏµ¿	42	25.69	0.33	3.9	0.57	3.5	ºÏ	6.00	6.2	³²¼­	214	25.9	1007.2	
2024/08/01 00:30:00	100.4	ºÏµ¿	42	25.53	0.34	4.4	0.54	5.5	³²³²¼­	207.00	6.2	³²¼­	220	25.9	1007.0	
2024/08/01 01:00:00	103.2	ºÏµ¿	46	25.76	0.33	4.7	0.51	8.0	³²³²¼­	201.00	5.8	³²¼­	229	25.8	1006.9	
2024/08/01 01:30:00	107.9	ºÏµ¿	40	25.77	0.30	4.2	0.52	3.0	³²³²¼­	206.00	6.8	³²¼­	227	25.6	1006.8	
2024/08/01 02:00:00	107.5	ºÏµ¿	44	26.19	0.30	4.6	0.47	6.0	³²³²¼­	198.00	7.0	³²¼­	234	25.6	1006.9	
2024/08/01 02:30:00	97.2	ºÏµ¿	46	25.42	0.31	4.5	0.54	3.5	³²³²¼­	199.00	6.7	³²¼­	232	25.6	1007.0	
2024/08/01 03:00:00	97.0	µ¿ºÏµ¿	57	25.13	0.32	4.6	0.50	5.5	³²³²¼­	204.00	5.1	¼­³²¼­	246	25.4	1007.0	
2024/08/01 03:30:00	106.4	µ¿ºÏµ¿	57	25.70	0.32	4.4	0.56	3.0	³²³²¼­	198.00	5.6	¼­³²¼­	243	25.4	1007.0	
2024/08/01 04:00:00	103.4	ºÏµ¿	50	25.90	0.34	4.2	0.54	7.0	³²³²¼­	199.00	5.8	¼­³²¼­	241	25.6	1007.1	
2024/08/01 04:30:00	107.9	ºÏµ¿	53	26.19	0.33	4.2	0.63	4.0	³²³²¼­	203.00	5.1	¼­³²¼­	246	25.8	1007.3	
2024/08/01 05:00:00	110.5	µ¿ºÏµ¿	62	26.24	0.35	4.2	0.62	4.5	³²³²¼­	203.00	4.8	¼­³²¼­	242	25.7	1007.3	
2024/08/01 05:30:00	102.1	µ¿ºÏµ¿	63	26.53	0.36	4.3	0.58	3.5	³²¼­	214.00	4.0	³²¼­	235	26.0	1007.5	
2024/08/01 06:00:00	98.8	µ¿ºÏµ¿	63	26.66	0.33	4.3	0.48	3.0	³²	182.00	3.9	¼­³²¼­	251	26.0	1007.5	
2024/08/01 06:30:00	100.6	µ¿ºÏµ¿	64	26.53	0.36	4.3	0.55	6.0	ºÏºÏµ¿	28.00	4.2	³²¼­	222	26.2	1007.6	
