0.00,시뮬레이션 시작,(0.00,-0.73,-22.29)
0.00,알고리즘 사용됨: Greedy,(0.00,-0.73,-22.29)
0.00,[설정] Speed: 5, Rotation Speed: 2, Avoid Radius: 5, Cluster Arrival Threshold: 0.8, Obstacle Layer: ,(0.00,-0.73,-22.29)
0.00,알고리즘 사용됨: Predictive(AStar),(0.00,-0.73,-22.29)
0.00,클러스터 a로 이동 시작,(0.00,-0.73,-22.29)
3.62,장애물 감지됨: buoy(Clone), 위치: (22.17, -0.37, 0.00),(16.69,-0.35,0.21)
3.62,장애물 회피 방향 적용: (-1.00, 0.08, 0.02),(16.69,-0.35,0.21)
4.64,클러스터 a 도착,(20.31,-0.31,7.32)
4.64,클러스터 a 수거 시작,(20.31,-0.31,7.32)
11.08,장애물 감지됨: Small_Rock_001(Clone), 위치: (21.31, 0.00, 46.99),(21.96,-0.42,41.09)
11.08,장애물 회피 방향 적용: (0.17, -0.08, -0.98),(21.96,-0.42,41.09)
11.08,장애물 감지됨: Small_Rock_001_LOD2, 위치: (21.31, 0.00, 46.99),(21.96,-0.42,41.09)
11.08,장애물 회피 방향 적용: (0.17, -0.08, -0.98),(21.96,-0.42,41.09)
11.08,장애물 감지됨: Small_Rock_001_LOD0, 위치: (21.31, 0.00, 46.99),(21.96,-0.42,41.09)
11.08,장애물 회피 방향 적용: (0.17, -0.08, -0.98),(21.96,-0.42,41.09)
11.08,장애물 감지됨: Small_Rock_001_LOD1, 위치: (21.31, 0.00, 46.99),(21.96,-0.42,41.09)
11.08,장애물 회피 방향 적용: (0.17, -0.08, -0.98),(21.96,-0.42,41.09)
24.04,장애물 충돌 횟수: 0,(26.04,-0.72,43.28)
