0.00,시뮬레이션 시작,(0.00,-0.73,-22.29)
0.00,알고리즘 사용됨: Greedy,(0.00,-0.73,-22.29)
0.00,[설정] Speed: 5, Rotation Speed: 2, Avoid Radius: 5, Cluster Arrival Threshold: 0.8, Obstacle Layer: ,(0.00,-0.73,-22.29)
0.00,알고리즘 사용됨: Predictive(AStar),(0.00,-0.73,-22.29)
0.00,클러스터 a로 이동 시작,(0.00,-0.73,-22.29)
4.56,클러스터 a 도착,(21.48,-0.36,6.53)
4.56,클러스터 a 수거 시작,(21.48,-0.36,6.53)
6.76,장애물 감지됨: buoy(Clone), 위치: (10.40, -0.70, 22.24),(12.44,-0.28,17.00)
6.76,장애물 회피 방향 적용: (0.35, -0.01, -0.94),(12.44,-0.28,17.00)
15.16,장애물 감지됨: Small_Rock_002(Clone), 위치: (22.02, 0.00, 24.29),(18.71,-0.21,29.67)
15.16,장애물 회피 방향 적용: (-0.50, -0.04, 0.87),(18.71,-0.21,29.67)
15.16,장애물 감지됨: Small_Rock_002_LOD1, 위치: (22.02, 0.00, 24.29),(18.71,-0.21,29.67)
15.16,장애물 회피 방향 적용: (-0.50, -0.04, 0.87),(18.71,-0.21,29.67)
15.16,장애물 감지됨: Small_Rock_002_LOD2, 위치: (22.02, 0.00, 24.29),(18.71,-0.21,29.67)
15.16,장애물 회피 방향 적용: (-0.50, -0.04, 0.87),(18.71,-0.21,29.67)
15.16,장애물 감지됨: Small_Rock_002_LOD0, 위치: (22.02, 0.00, 24.29),(18.71,-0.21,29.67)
15.16,장애물 회피 방향 적용: (-0.50, -0.04, 0.87),(18.71,-0.21,29.67)
19.40,장애물 감지됨: Small_Rock_002(Clone), 위치: (22.02, 0.00, 24.29),(17.53,-0.25,20.99)
19.40,장애물 회피 방향 적용: (-0.82, 0.00, -0.58),(17.53,-0.25,20.99)
25.00,장애물 감지됨: buoy(Clone), 위치: (23.84, -0.61, 26.43),(29.12,-0.35,27.97)
25.00,장애물 회피 방향 적용: (0.94, -0.03, 0.35),(29.12,-0.35,27.97)
25.32,장애물 감지됨: Small_Rock_001(Clone), 위치: (29.38, 0.00, 19.39),(28.07,-0.36,25.70)
25.32,장애물 회피 방향 적용: (-0.08, -0.06, 0.99),(28.07,-0.36,25.70)
25.32,장애물 감지됨: Small_Rock_001_LOD2, 위치: (29.38, 0.00, 19.39),(28.07,-0.36,25.70)
25.32,장애물 회피 방향 적용: (-0.09, -0.06, 0.99),(28.07,-0.36,25.70)
25.32,장애물 감지됨: Small_Rock_001_LOD0, 위치: (29.38, 0.00, 19.39),(28.07,-0.36,25.70)
25.32,장애물 회피 방향 적용: (-0.09, -0.06, 0.99),(28.07,-0.36,25.70)
25.32,장애물 감지됨: Small_Rock_001_LOD1, 위치: (29.38, 0.00, 19.39),(28.07,-0.36,25.70)
25.32,장애물 회피 방향 적용: (-0.09, -0.06, 0.99),(28.07,-0.36,25.70)
25.44,장애물 감지됨: Small_Rock_001(Clone), 위치: (29.38, 0.00, 19.39),(27.62,-0.36,24.86)
25.44,장애물 회피 방향 적용: (-0.23, 0.00, 0.97),(27.62,-0.36,24.86)
44.72,장애물 감지됨: buoy(Clone), 위치: (46.13, -0.46, 15.72),(46.47,-0.44,21.33)
