0.00,시뮬레이션 시작,(0.00,-0.73,-22.29)
0.00,알고리즘 사용됨: Greedy,(0.00,-0.73,-22.29)
0.00,[설정] Speed: 5, Rotation Speed: 2, Avoid Radius: 5, Cluster Arrival Threshold: 0.8, Obstacle Layer: ,(0.00,-0.73,-22.29)
0.00,알고리즘 사용됨: Predictive(AStar),(0.00,-0.73,-22.29)
0.00,클러스터 a로 이동 시작,(0.00,-0.73,-22.29)
3.26,장애물 감지됨: buoy(Clone), 위치: (19.37, -0.56, 1.48),(15.01,-0.36,-1.98)
3.26,장애물 회피 방향 적용: (-0.80, 0.02, -0.60),(15.01,-0.36,-1.98)
4.86,클러스터 a 도착,(20.33,-0.26,7.34)
4.86,클러스터 a 수거 시작,(20.33,-0.26,7.34)
7.12,장애물 감지됨: buoy(Clone), 위치: (8.68, -0.30, 23.90),(8.71,-0.17,18.25)
7.12,장애물 회피 방향 적용: (-0.06, -0.04, -1.00),(8.71,-0.17,18.25)
8.16,장애물 감지됨: Small_Rock_002(Clone), 위치: (0.14, 0.00, 27.67),(4.93,0.58,23.04)
8.16,장애물 회피 방향 적용: (0.69, 0.12, -0.71),(4.93,0.58,23.04)
8.16,장애물 감지됨: Small_Rock_002_LOD1, 위치: (0.14, 0.00, 27.67),(4.93,0.58,23.04)
8.16,장애물 회피 방향 적용: (0.69, 0.11, -0.71),(4.93,0.58,23.04)
8.16,장애물 감지됨: Small_Rock_002_LOD2, 위치: (0.14, 0.00, 27.67),(4.93,0.58,23.04)
8.16,장애물 회피 방향 적용: (0.69, 0.11, -0.71),(4.93,0.58,23.04)
8.16,장애물 감지됨: Small_Rock_002_LOD0, 위치: (0.14, 0.00, 27.67),(4.93,0.58,23.04)
8.16,장애물 회피 방향 적용: (0.69, 0.11, -0.71),(4.93,0.58,23.04)
11.28,장애물 감지됨: buoy(Clone), 위치: (25.78, -0.59, 44.63),(20.84,-0.34,41.97)
11.28,장애물 회피 방향 적용: (-0.86, -0.02, -0.52),(20.84,-0.34,41.97)
12.18,장애물 감지됨: Small_Rock_002(Clone), 위치: (29.18, 0.00, 36.20),(24.97,-0.21,40.80)
12.18,장애물 회피 방향 적용: (-0.69, -0.04, 0.72),(24.97,-0.21,40.80)
12.18,장애물 감지됨: Small_Rock_002_LOD1, 위치: (29.18, 0.00, 36.20),(24.97,-0.21,40.80)
12.18,장애물 회피 방향 적용: (-0.69, -0.04, 0.73),(24.97,-0.21,40.80)
12.18,장애물 감지됨: Small_Rock_002_LOD2, 위치: (29.18, 0.00, 36.20),(24.97,-0.21,40.80)
12.18,장애물 회피 방향 적용: (-0.69, -0.04, 0.73),(24.97,-0.21,40.80)
12.18,장애물 감지됨: Small_Rock_002_LOD0, 위치: (29.18, 0.00, 36.20),(24.97,-0.21,40.80)
12.18,장애물 회피 방향 적용: (-0.69, -0.04, 0.73),(24.97,-0.21,40.80)
12.42,장애물 감지됨: Small_Rock_002(Clone), 위치: (29.18, 0.00, 36.20),(25.77,-0.25,40.68)
12.42,장애물 회피 방향 적용: (-0.59, 0.00, 0.81),(25.77,-0.25,40.68)
25.52,장애물 감지됨: Small_Rock_002(Clone), 위치: (29.89, 0.00, 18.91),(28.74,-0.29,25.27)
25.52,장애물 회피 방향 적용: (-0.08, -0.05, 1.00),(28.74,-0.29,25.27)
25.52,장애물 감지됨: Small_Rock_002_LOD1, 위치: (29.89, 0.00, 18.91),(28.74,-0.29,25.27)
25.52,장애물 회피 방향 적용: (-0.08, -0.05, 1.00),(28.74,-0.29,25.27)
25.52,장애물 감지됨: Small_Rock_002_LOD2, 위치: (29.89, 0.00, 18.91),(28.74,-0.29,25.27)
25.52,장애물 회피 방향 적용: (-0.02, -0.05, 1.00),(28.74,-0.29,25.27)
25.52,장애물 감지됨: Small_Rock_002_LOD0, 위치: (29.89, 0.00, 18.91),(28.74,-0.29,25.27)
25.52,장애물 회피 방향 적용: (-0.06, -0.05, 1.00),(28.74,-0.29,25.27)
30.58,장애물 감지됨: Small_Rock_002(Clone), 위치: (29.89, 0.00, 18.91),(24.89,-0.48,15.82)
30.58,장애물 회피 방향 적용: (-0.87, 0.00, -0.49),(24.89,-0.48,15.82)
34.20,장애물 감지됨: buoy(Clone), 위치: (44.60, -0.50, 28.67),(40.03,-0.54,31.72)
34.20,장애물 회피 방향 적용: (-0.79, -0.10, 0.61),(40.03,-0.54,31.72)
43.88,장애물 감지됨: Small_Rock_001(Clone), 위치: (47.36, 0.00, 23.28),(41.23,-0.63,23.03)
43.88,장애물 회피 방향 적용: (-0.99, -0.12, -0.06),(41.23,-0.63,23.03)
43.88,장애물 감지됨: Small_Rock_001_LOD0, 위치: (47.36, 0.00, 23.28),(41.23,-0.63,23.03)
43.88,장애물 회피 방향 적용: (-0.99, -0.12, -0.04),(41.23,-0.63,23.03)
43.88,장애물 감지됨: Small_Rock_001_LOD1, 위치: (47.36, 0.00, 23.28),(41.23,-0.63,23.03)
43.88,장애물 회피 방향 적용: (-0.99, -0.12, -0.04),(41.23,-0.63,23.03)
43.92,장애물 감지됨: Small_Rock_001_LOD2, 위치: (47.36, 0.00, 23.28),(41.38,-0.62,23.28)
43.92,장애물 회피 방향 적용: (-0.99, -0.12, -0.01),(41.38,-0.62,23.28)
44.04,장애물 감지됨: Small_Rock_001(Clone), 위치: (47.36, 0.00, 23.28),(41.66,-0.64,24.08)
44.04,장애물 회피 방향 적용: (-1.00, 0.00, 0.02),(41.66,-0.64,24.08)
60.86,클러스터 a 수거 완료,(37.15,-0.12,-3.41)
60.86,알고리즘 사용됨: Fusion(AStar),(37.15,-0.12,-3.41)
60.86,클러스터 b로 이동 시작,(37.15,-0.12,-3.41)
67.08,장애물 감지됨: Small_Rock_001(Clone), 위치: (-16.91, 0.00, 14.04),(-10.84,-0.36,12.64)
67.08,장애물 회피 방향 적용: (0.99, -0.06, -0.13),(-10.84,-0.36,12.64)
67.08,장애물 감지됨: Small_Rock_001_LOD2, 위치: (-16.91, 0.00, 14.04),(-10.84,-0.36,12.64)
67.08,장애물 회피 방향 적용: (0.99, -0.06, -0.13),(-10.84,-0.36,12.64)
67.08,장애물 감지됨: Small_Rock_001_LOD0, 위치: (-16.91, 0.00, 14.04),(-10.84,-0.36,12.64)
67.08,장애물 회피 방향 적용: (0.99, -0.06, -0.13),(-10.84,-0.36,12.64)
