0.00,시뮬레이션 시작,(0.00,-0.73,-22.29)
0.00,알고리즘 사용됨: Greedy,(0.00,-0.73,-22.29)
0.00,[설정] Speed: 5, Rotation Speed: 2, Avoid Radius: 5, Cluster Arrival Threshold: 0.8, Obstacle Layer: ,(0.00,-0.73,-22.29)
0.00,알고리즘 사용됨: Predictive(AStar),(0.00,-0.73,-22.29)
0.00,클러스터 a로 이동 시작,(0.00,-0.73,-22.29)
2.24,장애물 감지됨: buoy(Clone), 위치: (6.40, -0.52, -3.99),(9.55,-0.41,-8.80)
2.24,장애물 회피 방향 적용: (0.52, -0.06, -0.85),(9.55,-0.41,-8.80)
2.44,장애물 감지됨: Small_Rock_000(Clone), 위치: (16.02, 0.00, -5.89),(10.65,-0.41,-7.57)
2.44,장애물 회피 방향 적용: (-0.97, -0.08, -0.25),(10.65,-0.41,-7.57)
2.44,장애물 감지됨: Small_Rock_000_LOD1, 위치: (16.02, 0.00, -5.89),(10.65,-0.41,-7.57)
2.44,장애물 회피 방향 적용: (-0.96, -0.08, -0.25),(10.65,-0.41,-7.57)
2.44,장애물 감지됨: Small_Rock_000_LOD0, 위치: (16.02, 0.00, -5.89),(10.65,-0.41,-7.57)
2.44,장애물 회피 방향 적용: (-0.96, -0.08, -0.25),(10.65,-0.41,-7.57)
2.44,장애물 감지됨: Small_Rock_000_LOD2, 위치: (16.02, 0.00, -5.89),(10.65,-0.41,-7.57)
2.44,장애물 회피 방향 적용: (-0.96, -0.08, -0.25),(10.65,-0.41,-7.57)
2.46,장애물 감지됨: Small_Rock_000(Clone), 위치: (16.02, 0.00, -5.89),(10.76,-0.42,-7.45)
2.46,장애물 회피 방향 적용: (-0.97, 0.00, -0.23),(10.76,-0.42,-7.45)
2.54,장애물 감지됨: Small_Rock_001(Clone), 위치: (15.86, 0.00, -2.78),(11.20,-0.43,-6.95)
2.54,장애물 회피 방향 적용: (-0.79, -0.08, -0.61),(11.20,-0.43,-6.95)
2.54,장애물 감지됨: Small_Rock_001_LOD2, 위치: (15.86, 0.00, -2.78),(11.20,-0.43,-6.95)
2.54,장애물 회피 방향 적용: (-0.79, -0.08, -0.61),(11.20,-0.43,-6.95)
2.54,장애물 감지됨: Small_Rock_001_LOD0, 위치: (15.86, 0.00, -2.78),(11.20,-0.43,-6.95)
2.54,장애물 회피 방향 적용: (-0.79, -0.08, -0.61),(11.20,-0.43,-6.95)
2.54,장애물 감지됨: Small_Rock_001_LOD1, 위치: (15.86, 0.00, -2.78),(11.20,-0.43,-6.95)
2.54,장애물 회피 방향 적용: (-0.79, -0.08, -0.61),(11.20,-0.43,-6.95)
2.60,장애물 감지됨: Small_Rock_001(Clone), 위치: (15.86, 0.00, -2.78),(11.51,-0.43,-6.56)
2.60,장애물 회피 방향 적용: (-0.76, 0.00, -0.65),(11.51,-0.43,-6.56)
4.80,클러스터 a 도착,(20.40,-0.34,7.29)
4.80,클러스터 a 수거 시작,(20.40,-0.34,7.29)
5.38,장애물 감지됨: Small_Rock_001(Clone), 위치: (21.14, 0.00, 15.75),(18.61,-0.38,9.98)
5.38,장애물 회피 방향 적용: (-0.35, -0.07, -0.93),(18.61,-0.38,9.98)
5.38,장애물 감지됨: Small_Rock_001_LOD2, 위치: (21.14, 0.00, 15.75),(18.61,-0.38,9.98)
5.38,장애물 회피 방향 적용: (-0.35, -0.07, -0.93),(18.61,-0.38,9.98)
5.38,장애물 감지됨: Small_Rock_001_LOD0, 위치: (21.14, 0.00, 15.75),(18.61,-0.38,9.98)
5.38,장애물 회피 방향 적용: (-0.35, -0.07, -0.93),(18.61,-0.38,9.98)
5.38,장애물 감지됨: Small_Rock_001_LOD1, 위치: (21.14, 0.00, 15.75),(18.61,-0.38,9.98)
5.38,장애물 회피 방향 적용: (-0.35, -0.07, -0.93),(18.61,-0.38,9.98)
7.93,장애물 충돌 횟수: 0,(5.92,-0.03,22.56)
