MMSI,수신시간,경도,위도,SOG,COG,HEDING
440******,22/01/01 03:15:12.041000000,75949336,19874256,11,157.9,511
440******,22/01/01 03:15:52.166000000,75949971,19873083,11.3,158.4,511
440******,22/01/01 03:15:42.400000000,75949816,19873367,11.3,151.3,511
667******,22/01/01 03:35:41.383000000,75949180,19893290,8.6,293,292
667******,22/01/01 03:35:32.210000000,75949340,19893230,8.6,293,293
667******,22/01/01 03:35:12.522000000,75949870,19893040,8.6,293,292
440******,22/01/01 04:35:01.902000000,75949094,19891786,0.4,47.9,511
440******,22/01/01 04:38:03.928000000,75949288,19892001,1.2,42.1,511
440******,22/01/01 04:38:59.531000000,75949395,19892064,1,62.3,511
440******,22/01/01 04:39:29.406000000,75949456,19892084,0.6,62.2,511
440******,22/01/01 04:38:29.403000000,75949326,19892032,1.1,48.1,511
440******,22/01/01 04:41:29.672000000,75949666,19892179,0.2,79.5,511
440******,22/01/01 04:42:55.988000000,75949789,19892237,0.3,50.7,511
440******,22/01/01 04:43:24.973000000,75949816,19892252,0.3,359.8,511
440******,22/01/01 04:40:59.186000000,75949613,19892156,0.6,66,511
440******,22/01/01 04:44:25.113000000,75949885,19892284,0.4,103.6,511
440******,22/01/01 04:44:56.315000000,75949922,19892311,0.3,46.7,511
440******,22/01/01 04:45:24.832000000,75949945,19892333,1.4,66.6,511
440******,22/01/01 05:18:20.610000000,75949542,19893089,4.3,273,511
440******,22/01/01 05:17:50.267000000,75949952,19893082,4,271.1,511
440******,22/01/01 09:39:25.221000000,75949166,19866430,5,52.5,511
440******,22/01/01 09:40:33.222000000,75949388,19866352,2,86.9,511
440******,22/01/01 09:39:55.329000000,75949347,19866316,1,324,511
440******,22/01/01 09:38:56.719000000,75949181,19866297,0.7,318.1,511
440******,22/01/01 09:44:47.171000000,75949902,19866521,1.4,141.3,511
440******,22/01/01 09:42:25.174000000,75949594,19866395,0.6,56,511
440******,22/01/01 09:41:26.235000000,75949558,19866366,0.7,345.3,511
440******,22/01/01 09:37:25.363000000,75949592,19865181,11.3,343,511
440******,22/01/01 09:38:26.609000000,75949312,19866247,2.2,283.6,511
440******,22/01/01 09:37:55.706000000,75949298,19865882,4.1,346.9,511
440******,22/01/01 09:52:48.041000000,75949524,19867076,0.8,89.9,511
440******,22/01/01 09:53:18.493000000,75949500,19867085,1,310,511
440******,22/01/01 09:54:17.106000000,75949380,19867068,1.4,292.2,511
440******,22/01/01 09:53:48.573000000,75949420,19867094,0.7,321.6,511
440******,22/01/01 09:48:10.086000000,75949791,19866742,1,11.5,511
440******,22/01/01 09:50:07.947000000,75949833,19866826,1.1,296.9,511
440******,22/01/01 09:52:17.572000000,75949440,19866918,2.8,328.4,511
440******,22/01/01 09:55:17.120000000,75949151,19867198,3.1,280.8,511
440******,22/01/01 09:47:38.058000000,75949733,19866661,2,54.9,511
440******,22/01/01 11:20:16.317000000,75949172,19880978,0.6,46.8,511
440******,22/01/01 11:21:45.980000000,75949552,19881050,2.5,115.4,511
440******,22/01/01 11:20:45.742000000,75949325,19881009,2.6,89.9,511
440******,22/01/01 11:23:15.961000000,75949837,19880959,0.3,36.6,511
440******,22/01/01 11:23:47.382000000,75949936,19880927,0.9,68.9,511
440******,22/01/01 11:22:46.211000000,75949782,19880989,1.3,129.1,511
440******,22/01/01 11:22:15.683000000,75949724,19880976,1.3,81.5,511
440******,22/01/01 12:07:30.098000000,75949839,19885734,1.1,64,511
440******,22/01/01 12:07:01.642000000,75949738,19885644,1.9,28,511
440******,22/01/01 12:08:00.113000000,75949905,19885805,0.8,17,511
440******,22/01/01 12:02:31.423000000,75949973,19884950,2.2,126.9,511
440******,22/01/01 12:11:59.376000000,75949917,19886351,0.7,10,511
440******,22/01/01 12:05:00.161000000,75949839,19885344,2.7,81.5,511
440******,22/01/01 12:04:30.988000000,75949754,19885261,1.3,26.2,511
440******,22/01/01 12:04:00.863000000,75949708,19885107,2.9,340.6,511
440******,22/01/01 12:05:30.270000000,75949855,19885283,0.5,294.6,511
