order,grid_x,grid_y,x_km,y_km,segment_dist_km,cum_dist_km,eta_hour_from_start
1,46,45,-0.4966944770582433,-0.6671404620209493,0.46430641563522324,0.46430641563522324,0.04178423466839662
2,45,44,-0.7675328324416135,-1.0442704566557701,0.46430641563522324,0.9286128312704465,0.08356846933679324
3,44,43,-1.0383711878249837,-1.421400451290591,0.46430641563522324,1.3929192469056697,0.12535270400518986
4,43,42,-1.309209543208354,-1.7985304459254152,0.4643064156352261,1.8572256625408958,0.16713693867358673
5,42,41,-1.5800478985917223,-2.175660440560236,0.46430641563522224,2.321532078176118,0.20892117334198326
6,41,40,-1.8508862539750925,-2.5527904351950568,0.46430641563522324,2.785838493811341,0.2507054080103799
7,40,39,-2.1217246093584627,-2.9299204298298793,0.4643064156352247,3.2501449094465658,0.29248964267877664
8,39,38,-2.392562964741833,-3.3070504244647,0.46430641563522324,3.714451325081789,0.3342738773471733
9,38,37,-2.663401320125203,-3.6841804190995227,0.4643064156352247,4.178757740717014,0.37605811201557005
10,37,36,-2.9342396755085733,-4.061310413734343,0.46430641563522324,4.643064156352237,0.4178423466839667
11,36,35,-3.2050780308919435,-4.438440408369164,0.46430641563522324,5.10737057198746,0.45962658135236334
12,35,34,-3.4759163862753137,-4.815570403003987,0.4643064156352247,5.571676987622684,0.5014108160207601
13,34,33,-3.746754741658684,-5.1927003976388075,0.46430641563522324,6.035983403257907,0.5431950506891567
14,33,33,-4.017593097042054,-5.1927003976388075,0.2708383553833702,6.306821758641277,0.5675685527934917
15,32,33,-4.288431452425424,-5.1927003976388075,0.2708383553833702,6.577660114024647,0.5919420548978267
16,31,33,-4.559269807808793,-5.1927003976388075,0.2708383553833684,6.848498469408016,0.6163155570021615
17,30,33,-4.830108163192163,-5.1927003976388075,0.2708383553833702,7.119336824791386,0.6406890591064964
18,29,32,-5.100946518575534,-5.56983039227363,0.4643064156352252,7.583643240426611,0.6824732937748932
19,28,32,-5.371784873958903,-5.56983039227363,0.2708383553833693,7.854481595809981,0.706846795879228
20,27,32,-5.642623229342274,-5.56983039227363,0.2708383553833702,8.125319951193351,0.731220297983563
21,26,32,-5.913461584725644,-5.56983039227363,0.2708383553833702,8.396158306576721,0.755593800087898
22,25,32,-6.184299940109014,-5.56983039227363,0.2708383553833702,8.666996661960091,0.779967302192233
23,24,31,-6.455138295492384,-5.946960386908451,0.46430641563522324,9.131303077595314,0.8217515368606296
24,23,31,-6.7259766508757535,-5.946960386908451,0.2708383553833693,9.402141432978684,0.8461250389649645
25,22,30,-6.996815006259124,-6.324090381543273,0.4643064156352247,9.866447848613909,0.8879092736333613
26,21,30,-7.267653361642494,-6.324090381543273,0.2708383553833702,10.137286203997279,0.9122827757376962
27,20,31,-7.538491717025864,-5.946960386908451,0.4643064156352247,10.601592619632504,0.954067010406093
28,20,32,-7.538491717025864,-5.56983039227363,0.3771299946348208,10.978722614267324,0.988005994804475
29,20,33,-7.538491717025864,-5.1927003976388075,0.37712999463482255,11.355852608902147,1.0219449792028572
