°üÃø¼Ò¸í:´ëÇÑÇØÇù
À§µµ:34.919
°æµµ:129.12125
°üÃø½Ã°£	Ç¥ÃþÀ¯¼Ó(cm/s)		Ç¥ÃþÀ¯Çâ(deg)	¼ö¿Â(¡É)	À¯ÀÇÆÄ°í(MOSE.HF)(m)	À¯ÀÇÆÄÁÖ±â(MOSE.HF)(sec)	ÃÖ´ëÆÄ°í(MOSE.HF)(m)	ÃÖ´ëÆÄÁÖ±â(MOSE.HF)(sec)		ÆÄÇâ(deg)	Ç³¼Ó(m/s)		Ç³Çâ(deg)	±â¿Â(¡É)	±â¾Ð(hPa)	
2023/10/01 00:00:00	86.9	ºÏµ¿	55	24.95	0.39	3.2	0.60	2.5	µ¿	81.00	6.0	ºÏ¼­	315	22.5	1010.5	
2023/10/01 00:30:00	83.9	µ¿ºÏµ¿	64	24.94	0.41	2.9	0.61	3.0	µ¿	81.00	6.8	ºÏ¼­	318	22.4	1010.7	
2023/10/01 01:00:00	81.1	µ¿ºÏµ¿	64	24.95	0.42	2.8	0.69	3.0	µ¿	94.00	7.4	ºÏ¼­	315	22.4	1010.9	
2023/10/01 01:30:00	76.4	µ¿ºÏµ¿	57	25.01	0.32	3.3	0.51	3.0	ºÏµ¿	51.00	4.9	ºÏ¼­	313	21.9	1011.2	
2023/10/01 02:00:00	68.0	µ¿ºÏµ¿	59	25.02	0.28	3.4	0.42	3.0	µ¿³²µ¿	118.00	4.7	ºÏ¼­	318	21.7	1011.2	
2023/10/01 02:30:00	59.4	ºÏµ¿	56	25.03	0.26	3.3	0.43	3.5	µ¿	80.00	4.6	ºÏ¼­	323	21.6	1011.2	
2023/10/01 03:00:00	40.5	µ¿ºÏµ¿	58	25.03	0.30	3.9	0.50	6.0	µ¿ºÏµ¿	60.00	4.5	ºÏ¼­	323	21.5	1011.0	
2023/10/01 03:30:00	26.3	ºÏµ¿	52	25.03	0.28	3.9	0.46	2.5	µ¿ºÏµ¿	66.00	5.3	ºÏ¼­	319	21.5	1010.9	
2023/10/01 04:00:00	17.3	µ¿	93	24.99	0.25	3.6	0.38	4.0	³²µ¿	127.00	5.8	ºÏ¼­	314	21.5	1011.0	
2023/10/01 04:30:00	6.1	µ¿³²µ¿	108	24.97	0.25	3.4	0.39	4.5	µ¿³²µ¿	112.00	4.6	¼­ºÏ¼­	302	21.4	1011.0	
2023/10/01 05:00:00	13.2	³²	175	24.98	0.24	4.3	0.38	5.0	ºÏ¼­	326.00	3.5	¼­ºÏ¼­	290	21.4	1011.0	
