°üÃø¼Ò¸í:´ëÇÑÇØÇù
À§µµ:34.919
°æµµ:129.12125
°üÃø½Ã°£	Ç¥ÃþÀ¯¼Ó(cm/s)	Ç¥ÃþÀ¯Çâ(16points)	Ç¥ÃþÀ¯Çâ(deg)	¼ö¿Â(¡É)	À¯ÀÇÆÄ°í(MOSE.HF)(m)	À¯ÀÇÆÄÁÖ±â(MOSE.HF)(sec)	ÃÖ´ëÆÄ°í(MOSE.HF)(m)	ÃÖ´ëÆÄÁÖ±â(MOSE.HF)(sec)	ÆÄÇâ(16points)	ÆÄÇâ(deg)	Ç³¼Ó(m/s)	Ç³Çâ(16points)	Ç³Çâ(deg)	±â¿Â(¡É)	±â¾Ð(hPa)	
2024/10/01 00:00:00	74.4	µ¿ºÏµ¿	62	25.79	0.74	6.0	1.09	5.5	ºÏµ¿	54.00	0.8	³²µ¿	144	24.3	1013.6	
2024/10/01 00:30:00	65.1	µ¿ºÏµ¿	69	25.76	0.76	6.2	1.04	7.0	ºÏµ¿	52.00	1.1	³²	171	24.3	1013.3	
2024/10/01 01:00:00	59.9	µ¿ºÏµ¿	64	25.74	0.79	6.3	1.33	7.0	ºÏµ¿	52.00	1.5	³²	174	24.3	1013.1	
2024/10/01 01:30:00	48.6	µ¿ºÏµ¿	67	25.74	0.75	6.5	1.04	6.0	ºÏµ¿	55.00	1.3	³²³²¼­	196	24.2	1012.8	
2024/10/01 02:00:00	40.6	µ¿ºÏµ¿	72	25.76	0.62	6.2	0.98	6.5	µ¿ºÏµ¿	62.00	1.2	³²	185	24.1	1012.3	
2024/10/01 02:30:00	27.7	µ¿ºÏµ¿	67	25.74	0.73	5.8	1.42	5.5	ºÏµ¿	56.00	1.1	³²³²¼­	201	24.1	1012.1	
2024/10/01 03:00:00	21.4	µ¿ºÏµ¿	75	25.72	0.67	6.1	1.15	6.5	µ¿ºÏµ¿	58.00	1.3	³²³²¼­	209	24.1	1011.7	
2024/10/01 03:30:00	15.0	µ¿	91	25.72	0.71	5.7	1.13	5.0	µ¿ºÏµ¿	59.00	1.7	³²³²¼­	192	24.1	1011.5	
2024/10/01 04:00:00	10.0	µ¿	99	25.70	0.68	5.8	1.39	5.0	ºÏµ¿	52.00	2.1	³²³²¼­	200	24.1	1011.3	
2024/10/01 04:30:00	9.2	µ¿	79	25.69	0.70	6.0	1.04	6.5	ºÏµ¿	53.00	2.5	³²³²¼­	211	24.1	1011.2	
2024/10/01 05:00:00	15.2	µ¿³²µ¿	104	25.70	0.69	5.9	1.25	5.5	µ¿ºÏµ¿	68.00	2.5	³²¼­	217	23.9	1011.1	
2024/10/01 05:30:00	15.4	µ¿	86	25.67	0.69	5.9	0.96	5.0	µ¿ºÏµ¿	61.00	2.7	¼­³²¼­	240	23.8	1011.2	
2024/10/01 06:00:00	10.6	µ¿	79	25.66	0.65	6.1	1.02	6.5	µ¿ºÏµ¿	68.00	3.2	¼­³²¼­	241	23.7	1011.2	
2024/10/01 06:30:00	15.6	µ¿ºÏµ¿	72	25.66	0.68	6.3	1.22	6.0	µ¿ºÏµ¿	76.00	3.2	¼­³²¼­	242	23.5	1011.2	
2024/10/01 07:00:00	20.7	µ¿	101	25.56	0.75	6.7	1.26	6.0	µ¿ºÏµ¿	63.00	3.1	³²¼­	236	23.6	1011.2	
2024/10/01 07:30:00	16.5	µ¿	83	25.46	0.68	7.4	1.07	7.0	³²³²¼­	203.00	2.3	³²¼­	228	23.7	1011.3	
