계절,쓰레기_분류,풍속계수 α,파고계수 β,예측_거리(m),예측_방위각(°)
가을,1 (부력이 매우 크고 가볍고 작은),3.0,1.0,16.03,335.5
가을,2 (부력이 매우 크고 가볍고 큰),2.5,1.2,13.2,334.2
가을,3 (반잠수/준부유 (작은)),1.5,2.0,7.43,326.5
가을,4 (반잠수/준부유 (큰)),1.2,2.5,5.7,319.0
가을,5 (반잠수/준부유 (무거운)),0.8,3.0,3.7,300.9
겨울,1 (부력이 매우 크고 가볍고 작은),3.0,1.0,18.22,91.2
겨울,2 (부력이 매우 크고 가볍고 큰),2.5,1.2,14.74,91.5
겨울,3 (반잠수/준부유 (작은)),1.5,2.0,7.32,93.6
겨울,4 (반잠수/준부유 (큰)),1.2,2.5,4.8,96.3
겨울,5 (반잠수/준부유 (무거운)),0.8,3.0,1.69,110.2
봄,1 (부력이 매우 크고 가볍고 작은),3.0,1.0,12.52,23.7
봄,2 (부력이 매우 크고 가볍고 큰),2.5,1.2,10.23,22.7
봄,3 (반잠수/준부유 (작은)),1.5,2.0,5.47,16.4
봄,4 (반잠수/준부유 (큰)),1.2,2.5,3.97,9.5
봄,5 (반잠수/준부유 (무거운)),0.8,3.0,2.22,349.1
여름,1 (부력이 매우 크고 가볍고 작은),3.0,1.0,12.1,8.4
여름,2 (부력이 매우 크고 가볍고 큰),2.5,1.2,9.83,7.7
여름,3 (반잠수/준부유 (작은)),1.5,2.0,5.05,3.0
여름,4 (반잠수/준부유 (큰)),1.2,2.5,3.47,357.4
여름,5 (반잠수/준부유 (무거운)),0.8,3.0,1.61,336.2
